Nama Menu,Harga
Teh,3000
Jeruk,4000
Teh Kampul,4000
Lemon Tea,4000
Teh Tarik,5000
Kopi Hitam,4000
Toracafe,4000
Coffemix,4000
White Coffe,4000
ABC Susu,4000
Nescafe,4000
Good Day,4000
Good Day Freeze,5000
Capuccino,5000
Nutrisari,4000
Milo,5000
Hilo,5000
Chocolatos,5000
Beng Beng,5000
Frisian Flag,5000
Dancow,5000
Susu Jahe,5000
Adem Sari,4000
ExtraJoss,5000
ExtraJoss Susu,7000
Kuku Bima,5000
Soda Gembira,8000
Sirup,4000
Susu Sirup,5000
Air Es,500
